date,aave-v3_USDT_Ethereum,morpho-blue_SPARKUSDC_Base,aave-v3_USDC_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_STEAKUSDT_Ethereum,aave-v3_USDC_Arbitrum,aave-v3_USDTB_Ethereum,morpho-blue_GTUSDC_Ethereum,morpho-blue_HUSDC_Ethereum,aave-v3_USDC_Avalanche,morpho-blue_SMUSDC_Base,morpho-blue_VBSHUSDC_Ethereum,morpho-blue_GTUSDCF_Ethereum,morpho-blue_CSUSDC_Ethereum,fluid-lending_USDC_Arbitrum,aave-v3_USDC_Base,morpho-blue_MWUSDC_Base,aave-v3_USDT_Avalanche,morpho-blue_SUSDS_Ethereum,fluid-lending_SUSDS_Arbitrum
2024-08-04,4.16733,0.0,4.94868,10.8885,11.7824,4.73871,12.94478,0.0,0.0,0.0,6.69877,6.08438,4.8383,0.0,4.73187,0.0,4.53439,0.0,0.0,0.0,0.0,0.0,7.44817,3.50523,3.99966,0.0,0.0
2024-08-05,3.98394,0.0,3.36969,13.11478,12.17531,2.58904,42.90945,0.0,0.0,0.0,20.82848,4.50462,2.47647,0.0,2.57938,0.0,4.20818,0.0,0.0,0.0,0.0,0.0,4.91494,2.56684,4.71854,0.0,0.0
2024-08-06,4.14802,0.0,3.45529,12.64696,12.12245,4.08448,11.81994,0.0,0.0,0.0,9.50326,4.18737,2.70248,0.0,3.42332,0.0,4.08628,0.0,0.0,0.0,0.0,0.0,4.78122,1.44992,5.12551,0.0,0.0
2024-08-07,3.8316,0.0,3.6785,12.48095,12.89313,3.82992,10.77562,0.0,0.0,0.0,5.85896,4.12552,2.78324,0.0,3.14554,0.0,4.01502,0.0,0.0,0.0,0.0,0.0,5.07667,1.29919,4.5349,0.0,0.0
2024-08-08,4.3329,0.0,3.76689,11.81934,12.86614,3.77367,30.42228,0.0,0.0,0.0,6.20466,3.91511,3.18791,0.0,3.77317,0.0,4.08671,0.0,0.0,0.0,0.0,0.0,4.72432,1.24273,4.32646,0.0,0.0
2024-08-09,4.14015,0.0,4.08916,11.74498,12.83754,4.04423,7.99403,0.0,0.0,0.0,6.26814,4.19013,3.15545,0.0,4.01682,0.0,3.96534,0.0,0.0,0.0,0.0,0.0,4.32765,1.31414,4.51233,0.0,0.0
2024-08-10,4.02071,0.0,3.99968,10.76668,12.64401,4.09191,8.08994,0.0,0.0,0.0,6.38112,4.06692,3.27013,0.0,4.0362,0.0,4.00114,0.0,0.0,0.0,0.0,0.0,5.09608,1.01613,4.11255,0.0,0.0
2024-08-11,3.78085,0.0,3.80773,11.13461,12.83776,3.7501,8.19295,0.0,0.0,0.0,6.21037,3.44371,3.28723,0.0,3.74856,0.0,3.92717,0.0,0.0,0.0,0.0,0.0,4.76344,1.01409,3.80716,0.0,0.0
2024-08-12,3.84378,0.0,3.59992,11.91535,12.86057,3.66376,12.38488,0.0,0.0,0.0,5.63738,4.471,3.3316,0.0,3.64858,0.0,4.01793,0.0,0.0,0.0,0.0,0.0,4.52136,0.92037,3.63288,0.0,0.0
2024-08-13,3.89629,0.0,3.6851,11.33645,13.19719,3.91889,8.58222,0.0,0.0,0.0,6.17145,4.43131,3.29208,0.0,3.89019,0.0,4.10612,0.0,0.0,0.0,0.0,0.0,4.4279,0.86024,3.7355,0.0,0.0
