,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-08-30,0.0,0.0,0.0,0.0,3.92542,2.68381,3.72433,4.71722,7.83376,9.76823,0.0,7.07016,0.0,0.0,0.0,0.0,6.29904,3.82924,4.68669,0.0,7.35467
2024-08-31,0.0,0.0,0.0,0.0,4.13441,2.36209,3.67922,4.71892,7.90446,9.71865,0.0,6.13379,0.0,0.0,0.0,0.0,6.12178,4.0311,4.66182,0.0,6.48072
2024-09-01,0.0,0.0,0.0,0.0,4.12406,2.35088,3.75192,4.73734,7.85509,9.59402,0.0,5.69936,0.0,0.0,0.0,0.0,6.17876,3.17011,4.65649,0.0,6.74454
2024-09-02,0.0,0.0,0.0,0.0,3.8223,1.73088,3.71567,4.77886,7.91302,9.74781,0.0,5.7725,0.0,0.0,0.0,0.0,6.50365,3.47257,4.7428,0.0,7.00262
2024-09-03,0.0,0.0,0.0,0.0,3.86359,1.85541,3.55673,4.80115,7.93068,9.64306,0.0,7.0004,0.0,0.0,0.0,0.0,6.01339,5.39463,4.71485,0.0,6.04009
2024-09-04,0.0,0.0,0.0,0.0,3.89727,1.46083,3.54896,4.74763,7.88839,8.9911,0.0,7.50697,0.0,0.0,0.0,0.0,7.66241,4.93259,6.12225,0.0,5.72148
2024-09-05,0.0,0.0,0.0,0.0,3.93981,1.62651,3.64717,4.75459,7.99531,8.8671,0.0,8.36785,0.0,0.0,0.0,0.0,6.57425,5.39788,10.1574,0.0,5.63359
2024-09-06,0.0,0.0,0.0,0.0,3.42542,2.27377,3.58182,4.76942,8.04049,8.75769,0.0,6.5203,0.0,0.0,0.0,0.0,6.38049,3.83797,6.31426,0.0,5.7446
2024-09-07,0.0,0.0,0.0,0.0,3.69078,2.33985,3.48287,4.77246,8.02232,8.52108,0.0,6.31264,0.0,0.0,0.0,0.0,6.35851,3.62874,5.06638,0.0,5.65824
2024-09-08,0.0,0.0,0.0,0.0,3.84929,1.99045,3.32321,4.78019,8.10821,8.55063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,3.79044,1.19413,3.33821,4.7744,8.03414,8.41887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-10,0.0,0.0,0.0,0.0,3.20624,1.21013,2.72204,4.77177,7.96517,8.3589,0.0,5.09072,0.0,0.0,0.0,0.0,5.86806,3.56919,4.76517,0.0,5.52196
2024-09-11,0.0,0.0,0.0,0.0,3.24059,1.12676,2.67578,4.77503,8.35939,8.43098,0.0,5.45124,0.0,0.0,0.0,0.0,5.63644,3.98483,4.73538,0.0,5.65576
2024-09-12,0.0,0.0,0.0,0.0,3.38741,1.30772,2.61531,5.13373,8.31593,8.38887,0.0,5.55134,0.0,0.0,0.0,0.0,5.60376,3.94511,7.73722,0.0,5.6353
2024-09-13,0.0,0.0,0.0,0.0,3.51601,1.34974,2.61858,5.13936,8.16129,8.30071,0.0,8.29295,0.0,0.0,0.0,0.0,5.44763,5.85289,5.54224,0.0,5.7901
2024-09-14,0.0,0.0,0.0,0.0,3.6719,1.30649,2.6079,5.14892,8.00553,8.42456,0.0,6.20666,0.0,0.0,0.0,0.0,5.40699,4.98733,12.03326,0.0,5.98594
2024-09-15,0.0,0.0,0.0,0.0,3.63518,0.8783,2.76245,5.14916,7.70207,8.36163,0.0,7.31287,0.0,0.0,0.0,0.0,5.60013,7.07734,5.40508,0.0,16.56804
2024-09-16,0.0,0.0,0.0,0.0,5.0834,0.77816,5.45103,5.15101,7.71186,8.46576,0.0,6.91394,0.0,0.0,0.0,0.0,5.99711,5.46427,5.40096,0.0,6.58061
2024-09-17,0.0,0.0,0.0,0.0,3.50096,0.92362,2.85746,5.15903,8.98943,8.43738,0.0,7.31501,0.0,0.0,0.0,0.0,6.24241,5.69694,5.39684,0.0,16.27613
2024-09-18,0.0,0.0,0.0,0.0,3.46131,0.89972,2.94477,5.1729,9.03747,8.6216,0.0,10.3798,0.0,0.0,0.0,0.0,5.85919,10.37779,14.0356,0.0,16.05737
2024-09-19,0.0,0.0,0.0,0.0,3.78803,0.99758,2.98669,6.65627,9.01218,8.65669,0.0,6.01335,0.0,0.0,0.0,0.0,5.41002,4.56167,9.47805,0.0,9.07994
2024-09-20,0.0,0.0,0.0,0.0,3.98372,0.94641,3.03451,6.67961,8.9712,8.65388,0.0,8.60537,0.0,0.0,0.0,0.0,8.77794,6.21112,8.47098,0.0,16.03089
2024-09-21,0.0,0.0,0.0,0.0,4.235,0.99515,3.08079,6.67601,8.92685,8.53601,0.0,7.84589,0.0,0.0,0.0,0.0,8.84633,4.83834,8.91194,0.0,9.85712
2024-09-22,0.0,0.0,0.0,0.0,4.21533,1.46911,3.02179,6.65121,8.78294,8.5755,0.0,6.51632,0.0,0.0,0.0,0.0,8.41996,4.61146,9.18968,0.0,8.75745
2024-09-23,0.0,0.0,0.0,0.0,4.12611,1.44684,3.08628,6.68762,8.82845,8.58403,0.0,6.69677,0.0,0.0,0.0,0.0,8.3962,6.2168,9.28514,0.0,8.13216
