,aave-v3_PT-EUSDE-14AUG2025_Ethereum,aave-v3_PT-SUSDE-31JUL2025_Ethereum,aave-v3_PT-USDE-31JUL2025_Ethereum,aave-v3_SUSDE_Ethereum,aave-v3_USDC_Ethereum,aave-v3_USDE_Ethereum,aave-v3_USDT_Ethereum,ethena-usde_SUSDE_Ethereum,fluid-lending_USDC_Ethereum,fluid-lending_USDT_Ethereum,morpho-blue_BBQUSDC_Ethereum,morpho-blue_GTUSDCCORE_Ethereum,morpho-blue_PT-SYRUPUSDC-28AUG2025_Ethereum,morpho-blue_PT-USDS-14AUG2025_Ethereum,morpho-blue_REUSDC_Ethereum,morpho-blue_SPARKUSDC_Base,morpho-blue_SPDAI_Ethereum,morpho-blue_STEAKUSDC_Ethereum,morpho-blue_STEAKUSDT_Ethereum,morpho-blue_SYRUPUSDC_Ethereum,morpho-blue_USUALUSDC+_Ethereum
2024-08-07,0.0,0.0,0.0,0.0,367188132,4896795,330147283,1397439422,63168261,61148844,0.0,35851770.0,0.0,0.0,0.0,0.0,450309270.0,37587188.0,4672956.0,0.0,22782390.0
2024-08-08,0.0,0.0,0.0,0.0,352440053,5065252,255499644,1386537892,66971335,61522488,0.0,35983167.0,0.0,0.0,0.0,0.0,449915401.0,38484610.0,4704639.0,0.0,22001624.0
2024-08-09,0.0,0.0,0.0,0.0,291280214,5100720,288120753,1377759039,67126569,61536543,0.0,35835738.0,0.0,0.0,0.0,0.0,450073004.0,38187988.0,4174234.0,0.0,29718446.0
2024-08-10,0.0,0.0,0.0,0.0,307396617,4814022,305454856,1363507695,73189593,62353620,0.0,35848820.0,0.0,0.0,0.0,0.0,450139457.0,38178479.0,4184888.0,0.0,29691662.0
2024-08-11,0.0,0.0,0.0,0.0,341744156,4175544,344594328,1357899993,70748459,61246639,0.0,35868474.0,0.0,0.0,0.0,0.0,449911605.0,38199352.0,4197942.0,0.0,29309973.0
2024-08-12,0.0,0.0,0.0,0.0,379655525,8764956,330983181,1304241748,66299141,61303662,0.0,35701668.0,0.0,0.0,0.0,0.0,450284792.0,38168889.0,4207107.0,0.0,27869013.0
2024-08-13,0.0,0.0,0.0,0.0,364209840,9557841,325319686,1299981799,69536929,59739982,0.0,35987661.0,0.0,0.0,0.0,0.0,449988285.0,38154032.0,4207609.0,0.0,29395271.0
2024-08-14,0.0,0.0,0.0,0.0,378277408,10112278,319614325,1300274778,69431138,61671121,0.0,31050958.0,0.0,0.0,0.0,0.0,448801464.0,39096221.0,4201537.0,0.0,28687949.0
2024-08-15,0.0,0.0,0.0,0.0,332520478,10165828,340331415,1302629220,68443534,62769358,0.0,37350629.0,0.0,0.0,0.0,0.0,451032656.0,38730840.0,4156555.0,0.0,30451223.0
2024-08-16,0.0,0.0,0.0,0.0,382438412,10684433,342766452,1294944192,68590909,61752303,0.0,32633932.0,0.0,0.0,0.0,0.0,450080626.0,37924452.0,4156037.0,0.0,30588690.0
